Model,Norm,Epsilon,Accuracy
Baseline CNN,Linf,0.0,99.2
Baseline CNN,Linf,0.01,99.0
Baseline CNN,Linf,0.03,98.4
Baseline CNN,Linf,0.05,97.8
Baseline CNN,Linf,0.1,94.4
Baseline CNN,Linf,0.15,87.4
Baseline CNN,Linf,0.2,77.3
Baseline CNN,Linf,0.3,43.1
Baseline CNN,Linf,0.4,10.3
Baseline CNN,Linf,0.5,1.5
Baseline CNN,Linf,1.0,0.0
JEM (0 steps),Linf,0.0,94.8
JEM (0 steps),Linf,0.01,94.6
JEM (0 steps),Linf,0.03,93.3
JEM (0 steps),Linf,0.05,92.3
JEM (0 steps),Linf,0.1,88.6
JEM (0 steps),Linf,0.15,82.5
JEM (0 steps),Linf,0.2,72.9
JEM (0 steps),Linf,0.3,39.2
JEM (0 steps),Linf,0.4,13.5
JEM (0 steps),Linf,0.5,2.5
JEM (0 steps),Linf,1.0,0.0
JEM (1 step),Linf,0.0,94.8
JEM (1 step),Linf,0.01,94.6
JEM (1 step),Linf,0.03,93.3
JEM (1 step),Linf,0.05,92.2
JEM (1 step),Linf,0.1,88.8
JEM (1 step),Linf,0.15,83.5
JEM (1 step),Linf,0.2,76.3
JEM (1 step),Linf,0.3,52.3
JEM (1 step),Linf,0.4,26.1
JEM (1 step),Linf,0.5,10.5
JEM (1 step),Linf,1.0,0.0
JEM (10 steps),Linf,0.0,94.8
JEM (10 steps),Linf,0.01,94.6
JEM (10 steps),Linf,0.03,93.8
JEM (10 steps),Linf,0.05,93.1
JEM (10 steps),Linf,0.1,89.9
JEM (10 steps),Linf,0.15,86.6
JEM (10 steps),Linf,0.2,82.9
JEM (10 steps),Linf,0.3,66.3
JEM (10 steps),Linf,0.4,40.4
JEM (10 steps),Linf,0.5,19.3
JEM (10 steps),Linf,1.0,0.3
JEM (25 steps),Linf,0.0,94.8
JEM (25 steps),Linf,0.01,94.7
JEM (25 steps),Linf,0.03,94.0
JEM (25 steps),Linf,0.05,93.6
JEM (25 steps),Linf,0.1,91.0
JEM (25 steps),Linf,0.15,89.1
JEM (25 steps),Linf,0.2,85.6
JEM (25 steps),Linf,0.3,74.7
JEM (25 steps),Linf,0.4,59.3
JEM (25 steps),Linf,0.5,39.5
JEM (25 steps),Linf,1.0,2.6
Baseline CNN,L2,0.0,99.2
Baseline CNN,L2,0.5,97.8
Baseline CNN,L2,1.0,94.0
Baseline CNN,L2,1.5,86.1
Baseline CNN,L2,2.0,73.4
Baseline CNN,L2,2.5,55.3
Baseline CNN,L2,3.0,35.2
Baseline CNN,L2,4.0,11.1
Baseline CNN,L2,5.0,3.1
Baseline CNN,L2,10.0,0.7
JEM (0 steps),L2,0.0,94.8
JEM (0 steps),L2,0.5,92.9
JEM (0 steps),L2,1.0,89.2
JEM (0 steps),L2,1.5,85.6
JEM (0 steps),L2,2.0,78.4
JEM (0 steps),L2,2.5,69.4
JEM (0 steps),L2,3.0,59.2
JEM (0 steps),L2,4.0,33.0
JEM (0 steps),L2,5.0,9.4
JEM (0 steps),L2,10.0,0.0
JEM (1 step),L2,0.0,94.8
JEM (1 step),L2,0.5,92.8
JEM (1 step),L2,1.0,89.3
JEM (1 step),L2,1.5,86.1
JEM (1 step),L2,2.0,78.9
JEM (1 step),L2,2.5,70.6
JEM (1 step),L2,3.0,60.9
JEM (1 step),L2,4.0,36.0
JEM (1 step),L2,5.0,12.8
JEM (1 step),L2,10.0,0.0
JEM (10 steps),L2,0.0,94.8
JEM (10 steps),L2,0.5,93.5
JEM (10 steps),L2,1.0,90.8
JEM (10 steps),L2,1.5,87.8
JEM (10 steps),L2,2.0,83.8
JEM (10 steps),L2,2.5,78.7
JEM (10 steps),L2,3.0,71.1
JEM (10 steps),L2,4.0,54.6
JEM (10 steps),L2,5.0,35.3
JEM (10 steps),L2,10.0,0.8
JEM (25 steps),L2,0.0,94.8
JEM (25 steps),L2,0.5,93.8
JEM (25 steps),L2,1.0,91.8
JEM (25 steps),L2,1.5,88.7
JEM (25 steps),L2,2.0,85.9
JEM (25 steps),L2,2.5,81.9
JEM (25 steps),L2,3.0,76.7
JEM (25 steps),L2,4.0,63.4
JEM (25 steps),L2,5.0,49.4
JEM (25 steps),L2,10.0,15.5
